ROI,Operator,SI,SSI,SMPI,ENL
White Matter,Gaussian,0.7963,0.8668,1.0443,1.5772
White Matter,Kantorovich,0.7508,0.8173,1.0357,1.7739
White Matter,Bilateral,0.8739,0.9513,1.0193,1.3093
White Matter,Wavelet,0.8523,0.9278,1.0503,1.3765
Tumor ROI,Gaussian,0.4297,0.788,1.0207,5.4151
Tumor ROI,Kantorovich,0.3531,0.6475,1.028,8.0188
Tumor ROI,Bilateral,0.5378,0.986,1.0029,3.4579
Tumor ROI,Wavelet,0.543,0.9956,1.0208,3.3919
CSF,Gaussian,2.3625,0.2484,3.2784,0.1792
CSF,Kantorovich,1.9926,0.2095,3.6997,0.2519
CSF,Bilateral,3.4227,0.3599,2.7371,0.0854
CSF,Wavelet,3.0739,0.3232,3.0095,0.1058
Liver Parenchyma,Gaussian,0.4103,0.8719,1.0227,5.9415
Liver Parenchyma,Kantorovich,0.3824,0.8127,1.0189,6.839
Liver Parenchyma,Bilateral,0.4512,0.959,1.0315,4.9115
Liver Parenchyma,Wavelet,0.4712,1.0014,1.0268,4.5043
Kidney Edge,Gaussian,0.7215,0.6629,1.0179,1.9209
Kidney Edge,Kantorovich,0.5515,0.5066,1.0178,3.2881
Kidney Edge,Bilateral,1.0514,0.9659,1.0147,0.9046
Kidney Edge,Wavelet,1.0342,0.9501,1.0177,0.935
Aorta,Gaussian,1.1095,0.7168,1.0428,0.8123
Aorta,Kantorovich,0.9087,0.5871,1.0432,1.2111
Aorta,Bilateral,1.4479,0.9354,1.0427,0.477
Aorta,Wavelet,1.4268,0.9218,1.0417,0.4912
